2023 Index,Street Name,Limit 1,Limit 2,Full Name,Facility Type,Ped_Total,Ped_Female,Ped_Male,Ped_MobAssist,Ped_Stroller,Ped_Weekday,Ped_Weekday_Female,Ped_Weekday_Male,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_Male,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female,Bike_Male,Bike_Sidewalk,Bike_ContraFlow,Bike_Bikeshare,Bike_Helmet,Bike_Weekday_Total,Bike_Weekday_Female,Bike_Weekday_Male,Bike_Weekday_Sidewalk,Bike_Weekday_ContraFlow,Bike_Weekday_Bike_Weekdayshare,Bike_Weekday_Helmet,Bike_Weekend_Total,Bike_Weekend_Female,Bike_Weekend_Male,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Bike_Weekendshare,Bike_Weekend_Helmet,Scooter_Total,Scooter_Female,Scooter_Male,Scooter_Sidewalk,Scooter_ContraFlow,Scooter_Helmet,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Male,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Male,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet,Other_Total,Other_Female,Other_Male,Other_Sidewalk,Other_ContraFlow,Other_Helmet,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Male,Other_Weekday_Sidewalk,Other_Weekday_ContraFlow,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Male,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet
23-1,1st St,Central Ave,San Pedro St,1st St bw Central Ave & San Pedro St,Lane,"2,455","1,030","1,425",14,1,985,396,589,14,1,"1,470",634,836,0,0,249,21,228,21,6,1,24,64,3,61,21,3,1,16,185,18,167,0,3,0,8,21,3,18,6,0,7,18,2,16,6,0,7,3,1,2,0,0,0,24,4,20,15,1,9,17,4,13,10,1,9,7,0,7,5,0,0
23-2,1st St,Soto St,Mathews St,1st St bw Soto St & Mathews St,Lane,184,36,148,7,2,,,,,,184,36,148,7,2,13,0,13,4,0,0,1,,,,,,,,13,0,13,4,0,0,1,4,0,4,4,0,4,,,,,,,4,0,4,4,0,4,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
23-3,4th St,Rossmore Ave,Arden Blvd,4th St bw Rossmore Ave & Arden Blvd,Sharrow,354,195,159,0,6,267,150,117,0,3,87,45,42,0,3,106,30,76,2,1,0,65,79,19,60,1,1,0,48,27,11,16,1,0,0,17,34,6,28,1,1,15,22,3,19,1,1,9,12,3,9,0,0,6,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
23-4,54th St,Gramercy Pl,Ruthelen St,54th St bw Gramercy Pl & Ruthelen St,Lane,185,71,114,2,1,154,60,94,2,1,31,11,20,0,0,28,0,28,12,3,0,5,25,0,25,12,2,0,5,3,0,3,0,1,0,0,4,0,4,3,0,2,2,0,2,3,0,0,2,0,2,0,0,2,6,0,6,5,1,0,4,0,4,4,0,0,2,0,2,1,1,0
23-5,5th St,Main St,Spring St,5th St bw Main St & Spring St,Protected Lane,"2,810",807,"2,003",68,20,"2,030",506,"1,524",53,13,780,301,479,15,7,231,5,226,63,52,0,21,168,5,163,40,36,0,16,63,0,63,23,16,0,5,85,10,75,28,21,0,69,10,59,22,16,0,16,0,16,6,5,0,22,1,21,13,4,1,16,0,16,9,3,0,6,1,5,4,1,1
23-6,6th St,Main St,Spring St,6th St bw Main St & Spring St,Protected Lane,"2,305",748,"1,557",43,11,"1,531",416,"1,115",33,6,774,332,442,10,5,191,11,180,43,46,6,31,128,3,125,31,29,0,13,63,8,55,12,17,6,18,93,17,76,28,18,4,67,12,55,15,15,1,26,5,21,13,3,3,22,1,21,6,5,0,18,1,17,6,4,0,4,0,4,0,1,0
23-79,7th St,Hill St,Olive St,7th St bw Hill St & Olive St,Protected Lane,"3,229","1,037","2,192",29,15,"2,608",793,"1,815",26,8,621,244,377,3,7,557,32,525,52,31,0,178,451,22,429,43,19,0,143,106,10,96,9,12,0,35,313,24,289,38,33,33,268,18,250,33,30,18,45,6,39,5,3,15,31,4,27,19,1,0,26,4,22,16,1,0,5,0,5,3,0,0
23-80,Adams Blvd,Crenshaw Blvd,Victoria Ave,Adams Blvd bw Crenshaw Blvd & Victoria Ave,None,184,75,109,3,3,171,71,100,3,3,13,4,9,0,0,29,1,28,20,3,0,2,22,0,22,17,0,0,0,7,1,6,3,3,0,2,7,0,7,6,1,0,5,0,5,4,0,0,2,0,2,2,1,0,15,2,13,15,1,0,14,2,12,14,0,0,1,0,1,1,1,0
23-7,Alameda St,1st St,2nd St,Alameda St bw 1st St & 2nd St,None,243,77,166,1,0,192,67,125,1,0,51,10,41,0,0,56,3,53,30,0,3,9,38,1,37,19,0,3,5,18,2,16,11,0,0,4,11,0,11,6,0,2,7,0,7,5,0,1,4,0,4,1,0,1,6,0,6,6,0,0,4,0,4,4,0,0,2,0,2,2,0,0
23-81,Alvarado St,6th St,Wilshire Blvd,Alvarado St bw 6th St & Wilshire Blvd,None,"3,771",729,"3,042",26,31,"2,481",564,"1,917",19,20,"1,290",165,"1,125",7,11,122,4,118,55,6,0,17,94,0,94,44,5,0,17,28,4,24,11,1,0,0,37,1,36,18,2,0,26,0,26,16,0,0,11,1,10,2,2,0,6,0,6,5,1,0,4,0,4,4,1,0,2,0,2,1,0,0
