FID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Medinc,GEO_id3,Id,GEO_id2,Geography,Wrk_16over,CarTruckVa,DriveAlone,Carpool,PublicTran,Walk,Bike,TaxiMCOthe,WorkfrHm,WlkBikTran,SHAPE_Length,SHAPE_Area
1,06,037,204920,06037204920,2049.20,Census Tract 2049.20,G5020,S,909972,0,+34.0175004,-118.1974975,41615,6037204920,1400000US06037204920,6037204920,"Census Tract 2049.20, Los Angeles County, California",1080,80.5,70.1,10.4,12,4.9,1,1,1,18,0.0386575257809283,8.88029319482913e-05
2,06,037,205110,06037205110,2051.10,Census Tract 2051.10,G5020,S,286960,0,+34.0245059,-118.2142985,31534,6037205110,1400000US06037205110,6037205110,"Census Tract 2051.10, Los Angeles County, California",1347,65.6,48.3,17.3,26,7.1,0,0,1,33,0.0286768805714967,2.80108345735558e-05
3,06,037,205120,06037205120,2051.20,Census Tract 2051.20,G5020,S,1466129,0,+34.0187546,-118.2117956,25873,6037205120,1400000US06037205120,6037205120,"Census Tract 2051.20, Los Angeles County, California",1110,68.5,57.8,10.6,24,1.7,0,3.7,2,26,0.0604595355483089,0.000143050158839342
4,06,037,206010,06037206010,2060.10,Census Tract 2060.10,G5020,S,1418124,20551,+34.0682177,-118.2320356,16685,6037206010,1400000US06037206010,6037206010,"Census Tract 2060.10, Los Angeles County, California",1181,52,44.9,7.1,26,6.8,0,11.4,4,33,0.0634013892731919,0.000140504199132435
5,06,037,206020,06037206020,2060.20,Census Tract 2060.20,G5020,S,843243,30290,+34.0571230,-118.2311021,87250,6037206020,1400000US06037206020,6037206020,"Census Tract 2060.20, Los Angeles County, California",246,71.5,63,8.5,14,8.1,0,6.5,0,22,0.0364439648994062,8.53002532579987e-05
6,06,037,206050,06037206050,2060.50,Census Tract 2060.50,G5020,S,1643424,94606,+34.0299036,-118.2244531,20822,6037206050,1400000US06037206050,6037206050,"Census Tract 2060.50, Los Angeles County, California",608,70.9,54.9,16,12,13.7,4,0,0,30,0.0732349957300179,0.000169666220076137
7,06,037,207400,06037207400,2074,Census Tract 2074,G5020,S,862958,6458,+34.0561941,-118.2466502,10795,6037207400,1400000US06037207400,6037207400,"Census Tract 2074, Los Angeles County, California",1,0,0,0,0,0,0,0,100,0,0.045933442871949,8.48960197394488e-05
8,06,037,192410,06037192410,1924.10,Census Tract 1924.10,G5020,S,683899,0,+34.0798577,-118.3181008,54500,6037192410,1400000US06037192410,6037192410,"Census Tract 1924.10, Los Angeles County, California",1998,81.1,71.4,9.7,4,1.5,3,0,10,8,0.0329032009162772,6.67996956623978e-05
9,06,037,192510,06037192510,1925.10,Census Tract 1925.10,G5020,S,340750,0,+34.0798690,-118.3068568,35808,6037192510,1400000US06037192510,6037192510,"Census Tract 1925.10, Los Angeles County, California",1943,61.1,45.4,15.7,29,3,0,0,6,32,0.0238766898284087,3.32826297599955e-05
10,06,037,192520,06037192520,1925.20,Census Tract 1925.20,G5020,S,307802,0,+34.0799255,-118.3024972,32289,6037192520,1400000US06037192520,6037192520,"Census Tract 1925.20, Los Angeles County, California",2394,61.9,48.7,13.2,31,2.5,2,0,2,36,0.0228482673828107,3.00646846900933e-05
